customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,product_interest,promotion_frequency,update_frequency
Bobby Elias,5,98,2262,3,4,2,342,hoodies,Every 2 weeks,Updates on interest
Bobby Odegard,2,75,131,2,4,4,244,hats,Every 2 weeks,Updates on interest
Bobby Trafton,4,560,604,4,4,4,444,tracksuits,Once a month,No updates
Brad Eason,6,254,1727,4,3,3,433,tracksuits,Every 2 weeks,Updates on interest
Brad Norvell,4,24,266,1,4,4,144,hoodies,Every 2 days,Every update
Brad Thomas,2,659,415,4,4,4,444,formals,Once a month,No updates
Bradley Drucker,6,35,4411,2,3,1,231,oversize,Every 2 days,Every update
Bradley Nguyen,5,9,1460,1,4,3,143,shoes,Every 2 days,Every update
Bradley Talbott,5,91,2685,3,4,2,342,joggers,Every 2 weeks,Updates on interest
Brenda Bowman,9,28,6766,1,1,1,111,shoes,Every 2 days,Every update
Brendan Dodson,2,278,321,4,4,4,444,trendy sections,Once a month,No updates
Brendan Murry,6,100,809,3,3,4,334,joggers,Every 2 weeks,Updates on interest
Brendan Sweed,6,35,2454,2,3,2,232,trendy sections,Every 2 weeks,Updates on interest
Brian Dahlen,7,97,3289,3,2,2,322,hats,Every 2 weeks,Updates on interest
Brian DeCherney,6,69,1539,2,3,3,233,shirt,Every 2 weeks,Updates on interest
Brian Derr,3,9,583,1,4,4,144,hoodies,Every 2 days,Every update
Brian Moss,11,33,7295,2,1,1,211,joggers,Every 2 days,Every update
Brian Stugart,3,582,3288,4,4,2,442,joggers,Every 2 weeks,Updates on interest
Brian Thompson,7,20,3196,1,2,2,122,hats,Every 2 days,Every update
Brooke Gillingham,6,36,1873,2,3,3,233,oversize,Every 2 weeks,Updates on interest
Brosina Hoffman,8,23,6255,1,2,1,121,tracksuits,Every 2 days,Every update
Bruce Degenhardt,6,93,1527,3,3,3,333,hats,Every 2 weeks,Updates on interest
Bruce Geld,6,57,1006,2,3,4,234,polo,Every 2 weeks,Updates on interest
Bruce Stewart,7,1,2563,1,2,2,122,formals,Every 2 days,Every update
Bryan Davis,6,327,658,4,3,4,434,tracksuits,Every 2 weeks,Updates on interest
Bryan Mills,10,218,1339,4,1,3,413,hoodies,Every week,Every update
Bryan Spruell,2,265,950,4,4,4,444,tracksuits,Once a month,No updates
Candace McMahon,6,131,1674,3,3,3,333,oversize,Every 2 weeks,Updates on interest
Cari Sayre,5,91,1279,3,4,3,343,tracksuits,Every 2 weeks,Updates on interest
Cari Schnelling,6,162,537,3,3,4,334,hoodies,Every 2 weeks,Updates on interest
Carl Jackson,1,365,17,4,4,4,444,oversize,Once a month,No updates
Carl Ludwig,4,106,1263,3,4,3,343,shoes,Every 2 weeks,Updates on interest
Carl Weiss,6,22,1138,1,3,4,134,joggers,Every 2 days,Every update
Carlos Daly,5,40,2035,2,4,3,243,joggers,Every 2 weeks,Updates on interest
Carlos Meador,2,708,565,4,4,4,444,formals,Once a month,No updates
Carlos Soltero,11,25,3038,1,1,2,112,trendy sections,Every 2 days,Every update
Carol Adams,6,96,3790,3,3,1,331,shoes,Every 2 days,Every update
Carol Darley,3,54,640,2,4,4,244,shoes,Every 2 weeks,Updates on interest
Carol Triggs,8,96,3242,3,2,2,322,tracksuits,Every 2 weeks,Updates on interest
Caroline Jumper,8,189,11166,4,2,1,421,joggers,Every 2 days,Every update
Cassandra Brandow,10,47,6076,2,1,1,211,hoodies,Every 2 days,Every update
Catherine Glotzbach,6,49,905,2,3,4,234,jeans,Every 2 weeks,Updates on interest
Cathy Armstrong,5,401,1680,4,4,3,443,jeans,Every 2 weeks,Updates on interest
Cathy Hwang,3,691,1537,4,4,3,443,oversize,Every 2 weeks,Updates on interest
Cathy Prescott,8,82,5402,3,2,1,321,joggers,Every 2 days,Every update
Chad Cunningham,6,457,1771,4,3,3,433,joggers,Every 2 weeks,Updates on interest
Chad McGuire,4,8,1662,1,4,3,143,formals,Every 2 days,Every update
Chad Sievert,4,489,885,4,4,4,444,jeans,Once a month,No updates
Charles Crestani,7,106,2472,3,2,2,322,joggers,Every 2 weeks,Updates on interest
Charles McCrossin,6,26,2533,1,3,2,132,formals,Every 2 days,Every update
Charles Sheldon,5,232,844,4,4,4,444,tracksuits,Once a month,No updates
Charlotte Melton,6,8,1475,1,3,3,133,polo,Every 2 days,Every update
Chloris Kastensmidt,13,39,3157,2,1,2,212,shirt,Every week,Every update
Chris Cortes,12,20,3913,1,1,1,111,shoes,Every 2 days,Every update
Chris McAfee,5,385,2307,4,4,2,442,trendy sections,Every 2 weeks,Updates on interest
Chris Selesnick,12,26,2754,1,1,2,112,oversize,Every 2 days,Every update
Christina Anderson,9,56,2648,2,1,2,212,polo,Every week,Every update
Christina DeMoss,2,42,1206,2,4,3,243,jeans,Every 2 weeks,Updates on interest
Christina VanderZanden,5,254,2830,4,4,2,442,formals,Every 2 weeks,Updates on interest
Christine Abelman,4,13,1422,1,4,3,143,shoes,Every 2 days,Every update
Christine Kargatis,5,120,2946,3,4,2,342,joggers,Every 2 weeks,Updates on interest
Christine Phan,8,160,5889,3,2,1,321,trendy sections,Every 2 days,Every update
Christine Sundaresam,11,6,3202,1,1,2,112,joggers,Every 2 days,Every update
Christopher Conant,5,43,12129,2,4,1,241,hoodies,Every 2 days,Every update
Christopher Martinez,4,37,8953,2,4,1,241,hoodies,Every 2 days,Every update
Christopher Schild,9,2,3651,1,1,2,112,trendy sections,Every 2 days,Every update
Christy Brittain,8,26,1950,1,2,3,123,formals,Every 2 days,Every update
Chuck Clark,10,0,2870,1,1,2,112,trendy sections,Every 2 days,Every update
Chuck Magee,3,436,288,4,4,4,444,jeans,Once a month,No updates
Chuck Sachs,2,27,551,1,4,4,144,trendy sections,Every 2 days,Every update
Cindy Chapman,9,39,1660,2,1,3,213,tracksuits,Every week,Every update
Cindy Schnelling,4,424,1077,4,4,4,444,joggers,Once a month,No updates
Cindy Stewart,6,58,5691,2,3,1,231,polo,Every 2 days,Every update
Claire Gute,3,338,1149,4,4,3,443,hats,Every 2 weeks,Updates on interest
Claudia Bergmann,8,197,4246,4,2,1,421,formals,Every 2 days,Every update
Clay Cheatham,3,27,113,1,4,4,144,trendy sections,Every 2 days,Every update
Clay Ludtke,12,284,10879,4,1,1,411,oversize,Every 2 days,Every update
Clay Rozendal,4,57,2149,2,4,3,243,hoodies,Every 2 weeks,Updates on interest
Clytie Kelty,11,43,2373,2,1,2,212,tracksuits,Every week,Every update
Corey Catlett,7,34,2541,2,2,2,222,shoes,Every 2 weeks,Updates on interest
Corey Roper,3,470,476,4,4,4,444,hats,Once a month,No updates
Corey-Lock,5,549,1300,4,4,3,443,formals,Every 2 weeks,Updates on interest
Corinna Mitchell,6,27,6339,1,3,1,131,polo,Every 2 days,Every update
Craig Carreira,7,29,2270,1,2,2,122,hats,Every 2 days,Every update
Craig Carroll,4,799,2854,4,4,2,442,trendy sections,Every 2 weeks,Updates on interest
Craig Leslie,5,105,2353,3,4,2,342,jeans,Every 2 weeks,Updates on interest
Craig Molinari,4,1035,3985,4,4,1,441,hoodies,Every 2 days,Every update
Craig Reiter,4,78,1600,3,4,3,343,hoodies,Every 2 weeks,Updates on interest
Craig Yedwab,8,60,2900,2,2,2,222,shoes,Every 2 weeks,Updates on interest
Cyma Kinney,9,82,1581,3,1,3,313,jeans,Every week,Every update
Cynthia Arntzen,7,120,3041,3,2,2,322,joggers,Every 2 weeks,Updates on interest
Cynthia Delaney,5,399,1859,4,4,3,443,shirt,Every 2 weeks,Updates on interest
Cynthia Voltz,9,5,2370,1,1,2,112,tracksuits,Every 2 days,Every update
Cyra Reiten,3,85,1398,3,4,3,343,hoodies,Every 2 weeks,Updates on interest
Damala Kotsonis,12,21,3256,1,1,2,112,oversize,Every 2 days,Every update
Dan Campbell,9,37,3335,2,1,2,212,hoodies,Every week,Every update
Dan Lawera,8,100,1503,3,2,3,323,hats,Every 2 weeks,Updates on interest
Dan Reichenbach,9,3,6528,1,1,1,111,hoodies,Every 2 days,Every update
Dana Kaydos,5,45,4282,2,4,1,241,formals,Every 2 days,Every update
Daniel Byrd,8,21,2172,1,2,3,123,hoodies,Every 2 days,Every update
Daniel Lacy,6,57,3273,2,3,2,232,shirt,Every 2 weeks,Updates on interest
Daniel Raglin,8,50,8351,2,2,1,221,shirt,Every 2 days,Every update
Dario Medina,7,114,1322,3,2,3,323,polo,Every 2 weeks,Updates on interest
Darren Budd,5,241,2840,4,4,2,442,joggers,Every 2 weeks,Updates on interest
Darren Koutras,5,7,1687,1,4,3,143,oversize,Every 2 days,Every update
Darren Powers,9,126,1052,3,1,4,314,hoodies,Every week,Every update
Darrin Martin,7,57,6346,2,2,1,221,hoodies,Every 2 days,Every update
Darrin Sayre,4,93,1762,3,4,3,343,tracksuits,Every 2 weeks,Updates on interest
Darrin Van Huff,5,19,1121,1,4,4,144,shirt,Every 2 days,Every update
Dave Brooks,7,16,4532,1,2,1,121,oversize,Every 2 days,Every update
Dave Hallsten,6,277,4934,4,3,1,431,shoes,Every 2 days,Every update
Dave Kipp,7,42,2652,2,2,2,222,polo,Every 2 weeks,Updates on interest
Dave Poirier,8,6,2215,1,2,3,123,joggers,Every 2 days,Every update
David Bremer,7,48,2974,2,2,2,222,jeans,Every 2 weeks,Updates on interest
David Flashing,3,700,2391,4,4,2,442,joggers,Every 2 weeks,Updates on interest
David Kendrick,2,10,798,1,4,4,144,formals,Every 2 days,Every update
David Philippe,2,812,1059,4,4,4,444,hats,Once a month,No updates
David Smith,9,23,2881,1,1,2,112,formals,Every 2 days,Every update
David Wiener,6,69,1080,2,3,4,234,hoodies,Every 2 weeks,Updates on interest
Dean Braden,10,9,2333,1,1,2,112,polo,Every 2 days,Every update
Dean Katz,9,10,4801,1,1,1,111,hats,Every 2 days,Every update
Dean percer,11,84,7199,3,1,1,311,oversize,Every 2 days,Every update
Deanra Eno,5,719,2550,4,4,2,442,jeans,Every 2 weeks,Updates on interest
Deborah Brumfield,8,53,4656,2,2,1,221,shirt,Every 2 days,Every update
Debra Catini,5,23,1174,1,4,3,143,polo,Every 2 days,Every update
Deirdre Greer,5,32,3195,2,4,2,242,polo,Every 2 weeks,Updates on interest
Delfina Latchford,8,22,1459,1,2,3,123,formals,Every 2 days,Every update
Denise Leinenbach,4,57,584,2,4,4,244,hoodies,Every 2 weeks,Updates on interest
Denise Monton,8,22,4075,1,2,1,121,trendy sections,Every 2 days,Every update
Dennis Bolton,5,264,1081,4,4,4,444,formals,Once a month,No updates
Dennis Kane,8,19,3317,1,2,2,122,polo,Every 2 days,Every update
Dennis Pardue,9,358,5482,4,1,1,411,tracksuits,Every 2 days,Every update
Denny Blanton,4,187,1711,4,4,3,443,jeans,Every 2 weeks,Updates on interest
Denny Joy,4,637,2012,4,4,3,443,formals,Every 2 weeks,Updates on interest
Denny Ordway,9,133,1299,3,1,3,313,jeans,Every week,Every update
Dianna Arnett,4,352,158,4,4,4,444,tracksuits,Once a month,No updates
Dianna Vittorini,6,29,3342,1,3,2,132,shoes,Every 2 days,Every update
Dianna Wilson,5,217,5272,4,4,1,441,tracksuits,Every 2 days,Every update
Dionis Lloyd,8,76,3540,3,2,2,322,tracksuits,Every 2 weeks,Updates on interest
Don Jones,8,48,2502,2,2,2,222,jeans,Every 2 weeks,Updates on interest
Don Miller,3,481,1377,4,4,3,443,joggers,Every 2 weeks,Updates on interest
Don Weiss,5,98,343,3,4,4,344,jeans,Every 2 weeks,Updates on interest
Dorothy Badders,7,107,3908,3,2,1,321,trendy sections,Every 2 days,Every update
Dorothy Dickinson,6,41,269,2,3,4,234,hoodies,Every 2 weeks,Updates on interest
Dorothy Wardle,7,242,1205,4,2,3,423,hats,Every 2 weeks,Updates on interest
Dorris liebe,5,119,756,3,4,4,344,joggers,Every 2 weeks,Updates on interest
Doug Bickford,7,33,1988,2,2,3,223,shirt,Every 2 weeks,Updates on interest
Doug Jacobs,3,12,3357,1,4,2,142,hats,Every 2 days,Every update
Doug O'Connell,7,26,1268,1,2,3,123,hoodies,Every 2 days,Every update
Duane Benoit,7,12,1156,1,2,3,123,formals,Every 2 days,Every update
Duane Huffman,4,776,1043,4,4,4,444,trendy sections,Once a month,No updates
Duane Noonan,7,217,2139,4,2,3,423,trendy sections,Every 2 weeks,Updates on interest
Ed Braxton,9,48,3645,2,1,2,212,shirt,Every week,Every update
Ed Jacobs,4,302,2163,4,4,3,443,joggers,Every 2 weeks,Updates on interest
Ed Ludwig,2,77,125,3,4,4,344,shoes,Every 2 weeks,Updates on interest
Edward Becker,10,35,3236,2,1,2,212,tracksuits,Every week,Every update
Edward Hooks,12,135,10311,3,1,1,311,joggers,Every 2 days,Every update
Edward Nazzal,4,287,2200,4,4,3,443,shoes,Every 2 weeks,Updates on interest
Eileen Kiefer,4,44,1302,2,4,3,243,trendy sections,Every 2 weeks,Updates on interest
Eleni McCrary,5,132,2567,3,4,2,342,jeans,Every 2 weeks,Updates on interest
Elizabeth Moffitt,8,55,2340,2,2,2,222,hoodies,Every 2 weeks,Updates on interest
Ellis Ballard,5,90,4359,3,4,1,341,shirt,Every 2 days,Every update
Elpida Rittenbach,3,421,1246,4,4,3,443,hoodies,Every 2 weeks,Updates on interest
Emily Burns,10,100,2768,3,1,2,312,oversize,Every week,Every update
Emily Ducich,8,135,3486,3,2,2,322,oversize,Every 2 weeks,Updates on interest
Emily Grady,5,22,1832,1,4,3,143,formals,Every 2 days,Every update
Emily Phan,17,12,5479,1,1,1,111,joggers,Every 2 days,Every update
Eric Barreto,5,161,944,3,4,4,344,trendy sections,Every 2 weeks,Updates on interest
Eric Hoffmann,8,217,684,4,2,4,424,trendy sections,Every 2 weeks,Updates on interest
Eric Murdock,5,151,934,3,4,4,344,tracksuits,Every 2 weeks,Updates on interest
Erica Bern,4,0,1644,1,4,3,143,tracksuits,Every 2 days,Every update
Erica Hackney,6,405,826,4,3,4,434,tracksuits,Every 2 weeks,Updates on interest
Erica Hernandez,7,2,1220,1,2,3,123,jeans,Every 2 days,Every update
Erica Smith,5,40,3511,2,4,2,242,hats,Every 2 weeks,Updates on interest
Erin Ashbrook,13,152,2847,3,1,2,312,polo,Every week,Every update
Erin Creighton,5,53,462,2,4,4,244,hats,Every 2 weeks,Updates on interest
Erin Mull,4,47,229,2,4,4,244,hoodies,Every 2 weeks,Updates on interest
Erin Smith,9,28,4659,1,1,1,111,hats,Every 2 days,Every update
Eudokia Martin,4,113,1040,3,4,4,344,jeans,Every 2 weeks,Updates on interest
Eugene Barchas,6,113,3072,3,3,2,332,formals,Every 2 weeks,Updates on interest
Eugene Hildebrand,10,152,3083,3,1,2,312,hoodies,Every week,Every update
Eugene Moren,6,48,4589,2,3,1,231,hats,Every 2 days,Every update
Eva Jacobs,5,57,2657,2,4,2,242,jeans,Every 2 weeks,Updates on interest
Evan Bailliet,6,82,1187,3,3,3,333,polo,Every 2 weeks,Updates on interest
Evan Henry,6,105,924,3,3,4,334,hats,Every 2 weeks,Updates on interest
Evan Minnotte,3,158,367,3,4,4,344,jeans,Every 2 weeks,Updates on interest
Filia McAdams,10,7,2456,1,1,2,112,tracksuits,Every 2 days,Every update
Frank Atkinson,7,97,2983,3,2,2,322,trendy sections,Every 2 weeks,Updates on interest
Frank Carlisle,7,70,3419,2,2,2,222,tracksuits,Every 2 weeks,Updates on interest
Frank Gastineau,7,34,1383,2,2,3,223,trendy sections,Every 2 weeks,Updates on interest
Frank Hawley,10,37,4256,2,1,1,211,shirt,Every 2 days,Every update
Frank Merwin,9,36,3737,2,1,2,212,shirt,Every week,Every update
Frank Olsen,10,38,2680,2,1,2,212,shirt,Every week,Every update
Frank Preis,8,23,4047,1,2,1,121,polo,Every 2 days,Every update
Fred Chung,7,184,3889,4,2,1,421,tracksuits,Every 2 days,Every update
Fred Harton,4,212,2271,4,4,2,442,trendy sections,Every 2 weeks,Updates on interest
Fred Hopkins,8,5,6987,1,2,1,121,jeans,Every 2 days,Every update
Fred McMath,9,145,2523,3,1,2,312,hoodies,Every week,Every update
Fred Wasserman,3,362,81,4,4,4,444,jeans,Once a month,No updates
Gary Hansen,9,75,2819,2,1,2,212,hoodies,Every week,Every update
Gary Hwang,4,50,4174,2,4,1,241,oversize,Every 2 days,Every update
Gary McGarr,7,83,3584,3,2,2,322,jeans,Every 2 weeks,Updates on interest
Gary Mitchum,6,16,3078,1,3,2,132,hats,Every 2 days,Every update
Gary Zandusky,9,7,4354,1,1,1,111,hats,Every 2 days,Every update
Gene Hale,2,387,1361,4,4,3,443,joggers,Every 2 weeks,Updates on interest
Gene McClure,10,106,1255,3,1,3,313,tracksuits,Every week,Every update
George Ashbrook,8,149,3921,3,2,1,321,hoodies,Every 2 days,Every update
George Bell,11,62,1570,2,1,3,213,hoodies,Every week,Every update
George Zrebassa,4,157,2454,3,4,2,342,formals,Every 2 weeks,Updates on interest
Georgia Rosenberg,2,1136,1284,4,4,3,443,tracksuits,Every 2 weeks,Updates on interest
Giulietta Baptist,5,13,4716,1,4,1,141,polo,Every 2 days,Every update
Giulietta Dortch,4,5,1888,1,4,3,143,joggers,Every 2 days,Every update
Giulietta Weimer,7,28,2190,1,2,3,123,polo,Every 2 days,Every update
Grace Kelly,9,112,6499,3,1,1,311,polo,Every 2 days,Every update
Grant Thornton,3,56,9350,2,4,1,241,polo,Every 2 days,Every update
Greg Guthrie,9,43,2223,2,1,3,213,tracksuits,Every week,Every update
Greg Hansen,2,2,147,1,4,4,144,polo,Every 2 days,Every update
Greg Matthias,6,152,3164,3,3,2,332,hats,Every 2 weeks,Updates on interest
Greg Maxwell,3,117,6050,3,4,1,341,formals,Every 2 days,Every update
Greg Tran,11,36,11820,2,1,1,211,formals,Every 2 days,Every update
Guy Armstrong,11,5,1398,1,1,3,113,shirt,Every 2 days,Every update
Guy Phonely,2,765,237,4,4,4,444,oversize,Once a month,No updates
Guy Thornton,4,34,227,2,4,4,244,hoodies,Every 2 weeks,Updates on interest
Hallie Redmond,5,13,1299,1,4,3,143,hoodies,Every 2 days,Every update
Harold Dahlen,3,769,251,4,4,4,444,oversize,Once a month,No updates
Harold Engle,4,12,884,1,4,4,144,tracksuits,Every 2 days,Every update
Harold Pawlan,7,30,1990,1,2,3,123,jeans,Every 2 days,Every update
Harold Ryan,7,159,5249,3,2,1,321,tracksuits,Every 2 days,Every update
Harry Greene,5,54,785,2,4,4,244,hoodies,Every 2 weeks,Updates on interest
Harry Marie,10,2,8237,1,1,1,111,hoodies,Every 2 days,Every update
Heather Jas,5,126,359,3,4,4,344,oversize,Every 2 weeks,Updates on interest
Heather Kirkland,8,151,4878,3,2,1,321,polo,Every 2 days,Every update
Helen Abelman,7,69,2163,2,2,3,223,tracksuits,Every 2 weeks,Updates on interest
Helen Andreada,8,20,2583,1,2,2,122,trendy sections,Every 2 days,Every update
Helen Wasserman,8,117,9299,3,2,1,321,oversize,Every 2 days,Every update
Henia Zydlo,5,35,886,2,4,4,244,hats,Every 2 weeks,Updates on interest
Henry Goldwyn,12,23,3249,1,1,2,112,hoodies,Every 2 days,Every update
Henry MacAllister,4,247,737,4,4,4,444,oversize,Once a month,No updates
Herbert Flentye,7,21,2533,1,2,2,122,tracksuits,Every 2 days,Every update
Hilary Holden,2,72,218,2,4,4,244,hoodies,Every 2 weeks,Updates on interest
Hunter Glantz,7,6,3690,1,2,2,122,jeans,Every 2 days,Every update
Hunter Lopez,6,43,12874,2,3,1,231,oversize,Every 2 days,Every update
Ionia McGrath,3,409,2872,4,4,2,442,joggers,Every 2 weeks,Updates on interest
Irene Maddox,7,390,4931,4,2,1,421,hoodies,Every 2 days,Every update
Ivan Gibson,4,71,744,2,4,4,244,tracksuits,Every 2 weeks,Updates on interest
Ivan Liston,7,142,5040,3,2,1,321,shirt,Every 2 days,Every update
Jack Garza,3,758,2358,4,4,2,442,trendy sections,Every 2 weeks,Updates on interest
Jack Lebron,6,8,1215,1,3,3,133,shoes,Every 2 days,Every update
Jack O'Briant,9,57,3256,2,1,2,212,polo,Every week,Every update
James Galang,11,1,6367,1,1,1,111,shoes,Every 2 days,Every update
James Lanier,5,6,1572,1,4,3,143,tracksuits,Every 2 days,Every update
Jamie Frazer,7,65,2279,2,2,2,222,hats,Every 2 weeks,Updates on interest
