customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,Customer_Segment,Email_Frequency,Email_Type
Anemone Ratner,1,534,88,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Angele Hood,4,21,738,1,4,4,144,Discount Seekers,Weekly,Discount offers
Ann Blume,4,50,1515,2,4,3,243,Discount Seekers,Weekly,Discount offers
Ann Chong,5,6,2538,1,4,2,142,Discount Seekers,Weekly,Discount offers
Ann Steele,7,92,833,3,2,4,324,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Anna Andreadi,6,55,5087,2,3,1,231,Discount Seekers,Weekly,Discount offers
Anna Chung,5,282,658,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Anna Gayman,7,97,3488,3,2,2,322,Active Loyals,Weekly,Personalized updates and loyalty rewards
Anna Hberlin,12,410,7888,4,1,1,411,Big Spenders,Weekly,Premium offers and exclusive deals
Anne McFarland,8,162,5664,3,2,1,321,Big Spenders,Weekly,Premium offers and exclusive deals
Anne Pryor,8,41,1638,2,2,3,223,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Annie Thurman,10,13,3831,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Annie Zypern,6,160,1623,3,3,3,333,Churn Candidates,Monthly,High-impact reactivation emails
Anthony Garverick,4,77,171,3,4,4,344,Discount Seekers,Weekly,Discount offers
Anthony Jacobs,7,75,4868,2,2,1,221,Active Loyals,Weekly,Personalized updates and loyalty rewards
Anthony Johnson,7,166,4502,3,2,1,321,Big Spenders,Weekly,Premium offers and exclusive deals
Anthony O'Donnell,1,501,161,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Anthony Rawles,8,58,4523,2,2,1,221,Active Loyals,Weekly,Personalized updates and loyalty rewards
Anthony Witt,4,20,649,1,4,4,144,Discount Seekers,Weekly,Discount offers
Arianne Irving,10,13,4376,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Art Ferguson,7,41,2052,2,2,3,223,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Art Foster,4,415,862,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Arthur Gainer,10,96,4511,3,1,1,311,Active Loyals,Weekly,Personalized updates and loyalty rewards
Arthur Prichep,10,98,3324,3,1,2,312,Active Loyals,Weekly,Personalized updates and loyalty rewards
Arthur Wiediger,7,46,2853,2,2,2,222,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Ashley Jarboe,7,85,1838,3,2,3,323,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Astrea Jones,3,74,629,2,4,4,244,Discount Seekers,Weekly,Discount offers
Barbara Fisher,7,91,600,3,2,4,324,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Barry Blumstein,5,105,744,3,4,4,344,Churn Candidates,Monthly,High-impact reactivation emails
Barry Franz,4,39,1334,2,4,3,243,Discount Seekers,Weekly,Discount offers
Barry Franzsisch,8,74,2889,2,2,2,222,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Barry Gonzalez,8,28,2799,1,2,2,122,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Barry Pond,5,83,983,3,4,4,344,Discount Seekers,Weekly,Discount offers
Barry Weirich,3,212,386,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Bart Folk,3,25,274,1,4,4,144,Discount Seekers,Weekly,Discount offers
Bart Pistole,12,17,2441,1,1,2,112,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Bart Watters,8,121,4751,3,2,1,321,Big Spenders,Weekly,Premium offers and exclusive deals
Becky Castell,9,202,2934,4,1,2,412,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Becky Martin,4,307,11790,4,4,1,441,Churn Candidates,Monthly,High-impact reactivation emails
Becky Pak,6,89,1698,3,3,3,333,Discount Seekers,Weekly,Discount offers
Ben Ferrer,11,16,5907,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Ben Peterman,9,1,3675,1,1,2,112,Active Loyals,Weekly,Personalized updates and loyalty rewards
Ben Wallace,6,203,1739,4,3,3,433,Churn Candidates,Monthly,High-impact reactivation emails
Benjamin Farhat,4,65,1586,2,4,3,243,Discount Seekers,Weekly,Discount offers
Benjamin Patterson,5,39,1182,2,4,3,243,Discount Seekers,Weekly,Discount offers
Benjamin Venier,5,334,1522,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Berenike Kampe,6,77,660,3,3,4,334,Discount Seekers,Weekly,Discount offers
Beth Fritzler,3,57,792,2,4,4,244,Discount Seekers,Weekly,Discount offers
Beth Paige,7,12,2474,1,2,2,122,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Beth Thompson,5,336,2568,4,4,2,442,Churn Candidates,Monthly,High-impact reactivation emails
Bill Donatelli,12,33,5719,2,1,1,211,Active Loyals,Weekly,Personalized updates and loyalty rewards
Bill Eplett,5,119,4205,3,4,1,341,Churn Candidates,Monthly,High-impact reactivation emails
Bill Overfelt,5,137,2684,3,4,2,342,Churn Candidates,Monthly,High-impact reactivation emails
Bill Shonely,5,558,10502,4,4,1,441,Churn Candidates,Monthly,High-impact reactivation emails
Bill Stewart,5,28,3888,1,4,1,141,Discount Seekers,Weekly,Discount offers
Bill Tyler,6,302,2187,4,3,3,433,Churn Candidates,Monthly,High-impact reactivation emails
Bobby Elias,5,98,2262,3,4,2,342,Discount Seekers,Weekly,Discount offers
Bobby Odegard,2,75,131,2,4,4,244,Discount Seekers,Weekly,Discount offers
Bobby Trafton,4,560,604,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Brad Eason,6,254,1727,4,3,3,433,Churn Candidates,Monthly,High-impact reactivation emails
Brad Norvell,4,24,266,1,4,4,144,Discount Seekers,Weekly,Discount offers
Brad Thomas,2,659,415,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Bradley Drucker,6,35,4411,2,3,1,231,Discount Seekers,Weekly,Discount offers
Bradley Nguyen,5,9,1460,1,4,3,143,Discount Seekers,Weekly,Discount offers
Bradley Talbott,5,91,2685,3,4,2,342,Discount Seekers,Weekly,Discount offers
Brenda Bowman,9,28,6766,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Brendan Dodson,2,278,321,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Brendan Murry,6,100,809,3,3,4,334,Discount Seekers,Weekly,Discount offers
Brendan Sweed,6,35,2454,2,3,2,232,Discount Seekers,Weekly,Discount offers
Brian Dahlen,7,97,3289,3,2,2,322,Active Loyals,Weekly,Personalized updates and loyalty rewards
Brian DeCherney,6,69,1539,2,3,3,233,Discount Seekers,Weekly,Discount offers
Brian Derr,3,9,583,1,4,4,144,Discount Seekers,Weekly,Discount offers
Brian Moss,11,33,7295,2,1,1,211,Active Loyals,Weekly,Personalized updates and loyalty rewards
Brian Stugart,3,582,3288,4,4,2,442,Churn Candidates,Monthly,High-impact reactivation emails
Brian Thompson,7,20,3196,1,2,2,122,Active Loyals,Weekly,Personalized updates and loyalty rewards
Brooke Gillingham,6,36,1873,2,3,3,233,Discount Seekers,Weekly,Discount offers
Brosina Hoffman,8,23,6255,1,2,1,121,Active Loyals,Weekly,Personalized updates and loyalty rewards
Bruce Degenhardt,6,93,1527,3,3,3,333,Discount Seekers,Weekly,Discount offers
Bruce Geld,6,57,1006,2,3,4,234,Discount Seekers,Weekly,Discount offers
Bruce Stewart,7,1,2563,1,2,2,122,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Bryan Davis,6,327,658,4,3,4,434,Churn Candidates,Monthly,High-impact reactivation emails
Bryan Mills,10,218,1339,4,1,3,413,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Bryan Spruell,2,265,950,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Candace McMahon,6,131,1674,3,3,3,333,Churn Candidates,Monthly,High-impact reactivation emails
Cari Sayre,5,91,1279,3,4,3,343,Discount Seekers,Weekly,Discount offers
Cari Schnelling,6,162,537,3,3,4,334,Churn Candidates,Monthly,High-impact reactivation emails
Carl Jackson,1,365,17,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Carl Ludwig,4,106,1263,3,4,3,343,Churn Candidates,Monthly,High-impact reactivation emails
Carl Weiss,6,22,1138,1,3,4,134,Discount Seekers,Weekly,Discount offers
Carlos Daly,5,40,2035,2,4,3,243,Discount Seekers,Weekly,Discount offers
Carlos Meador,2,708,565,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Carlos Soltero,11,25,3038,1,1,2,112,Active Loyals,Weekly,Personalized updates and loyalty rewards
Carol Adams,6,96,3790,3,3,1,331,Discount Seekers,Weekly,Discount offers
Carol Darley,3,54,640,2,4,4,244,Discount Seekers,Weekly,Discount offers
Carol Triggs,8,96,3242,3,2,2,322,Active Loyals,Weekly,Personalized updates and loyalty rewards
Caroline Jumper,8,189,11166,4,2,1,421,Big Spenders,Weekly,Premium offers and exclusive deals
Cassandra Brandow,10,47,6076,2,1,1,211,Active Loyals,Weekly,Personalized updates and loyalty rewards
Catherine Glotzbach,6,49,905,2,3,4,234,Discount Seekers,Weekly,Discount offers
Cathy Armstrong,5,401,1680,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Cathy Hwang,3,691,1537,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Cathy Prescott,8,82,5402,3,2,1,321,Active Loyals,Weekly,Personalized updates and loyalty rewards
Chad Cunningham,6,457,1771,4,3,3,433,Churn Candidates,Monthly,High-impact reactivation emails
Chad McGuire,4,8,1662,1,4,3,143,Discount Seekers,Weekly,Discount offers
Chad Sievert,4,489,885,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Charles Crestani,7,106,2472,3,2,2,322,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Charles McCrossin,6,26,2533,1,3,2,132,Discount Seekers,Weekly,Discount offers
Charles Sheldon,5,232,844,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Charlotte Melton,6,8,1475,1,3,3,133,Discount Seekers,Weekly,Discount offers
Chloris Kastensmidt,13,39,3157,2,1,2,212,Active Loyals,Weekly,Personalized updates and loyalty rewards
Chris Cortes,12,20,3913,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Chris McAfee,5,385,2307,4,4,2,442,Churn Candidates,Monthly,High-impact reactivation emails
Chris Selesnick,12,26,2754,1,1,2,112,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Christina Anderson,9,56,2648,2,1,2,212,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Christina DeMoss,2,42,1206,2,4,3,243,Discount Seekers,Weekly,Discount offers
Christina VanderZanden,5,254,2830,4,4,2,442,Churn Candidates,Monthly,High-impact reactivation emails
Christine Abelman,4,13,1422,1,4,3,143,Discount Seekers,Weekly,Discount offers
Christine Kargatis,5,120,2946,3,4,2,342,Churn Candidates,Monthly,High-impact reactivation emails
Christine Phan,8,160,5889,3,2,1,321,Big Spenders,Weekly,Premium offers and exclusive deals
Christine Sundaresam,11,6,3202,1,1,2,112,Active Loyals,Weekly,Personalized updates and loyalty rewards
Christopher Conant,5,43,12129,2,4,1,241,Richie Riches,Monthly,Exclusive high-end promotions
Christopher Martinez,4,37,8953,2,4,1,241,Discount Seekers,Weekly,Discount offers
Christopher Schild,9,2,3651,1,1,2,112,Active Loyals,Weekly,Personalized updates and loyalty rewards
Christy Brittain,8,26,1950,1,2,3,123,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Chuck Clark,10,0,2870,1,1,2,112,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Chuck Magee,3,436,288,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Chuck Sachs,2,27,551,1,4,4,144,Discount Seekers,Weekly,Discount offers
Cindy Chapman,9,39,1660,2,1,3,213,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Cindy Schnelling,4,424,1077,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Cindy Stewart,6,58,5691,2,3,1,231,Discount Seekers,Weekly,Discount offers
Claire Gute,3,338,1149,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Claudia Bergmann,8,197,4246,4,2,1,421,Big Spenders,Weekly,Premium offers and exclusive deals
Clay Cheatham,3,27,113,1,4,4,144,Discount Seekers,Weekly,Discount offers
Clay Ludtke,12,284,10879,4,1,1,411,Big Spenders,Weekly,Premium offers and exclusive deals
Clay Rozendal,4,57,2149,2,4,3,243,Discount Seekers,Weekly,Discount offers
Clytie Kelty,11,43,2373,2,1,2,212,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Corey Catlett,7,34,2541,2,2,2,222,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Corey Roper,3,470,476,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Corey-Lock,5,549,1300,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Corinna Mitchell,6,27,6339,1,3,1,131,Discount Seekers,Weekly,Discount offers
Craig Carreira,7,29,2270,1,2,2,122,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Craig Carroll,4,799,2854,4,4,2,442,Churn Candidates,Monthly,High-impact reactivation emails
Craig Leslie,5,105,2353,3,4,2,342,Churn Candidates,Monthly,High-impact reactivation emails
Craig Molinari,4,1035,3985,4,4,1,441,Churn Candidates,Monthly,High-impact reactivation emails
Craig Reiter,4,78,1600,3,4,3,343,Discount Seekers,Weekly,Discount offers
Craig Yedwab,8,60,2900,2,2,2,222,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Cyma Kinney,9,82,1581,3,1,3,313,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Cynthia Arntzen,7,120,3041,3,2,2,322,Big Spenders,Weekly,Premium offers and exclusive deals
Cynthia Delaney,5,399,1859,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Cynthia Voltz,9,5,2370,1,1,2,112,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Cyra Reiten,3,85,1398,3,4,3,343,Discount Seekers,Weekly,Discount offers
Damala Kotsonis,12,21,3256,1,1,2,112,Active Loyals,Weekly,Personalized updates and loyalty rewards
Dan Campbell,9,37,3335,2,1,2,212,Active Loyals,Weekly,Personalized updates and loyalty rewards
Dan Lawera,8,100,1503,3,2,3,323,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Dan Reichenbach,9,3,6528,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Dana Kaydos,5,45,4282,2,4,1,241,Discount Seekers,Weekly,Discount offers
Daniel Byrd,8,21,2172,1,2,3,123,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Daniel Lacy,6,57,3273,2,3,2,232,Discount Seekers,Weekly,Discount offers
Daniel Raglin,8,50,8351,2,2,1,221,Active Loyals,Weekly,Personalized updates and loyalty rewards
Dario Medina,7,114,1322,3,2,3,323,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Darren Budd,5,241,2840,4,4,2,442,Churn Candidates,Monthly,High-impact reactivation emails
Darren Koutras,5,7,1687,1,4,3,143,Discount Seekers,Weekly,Discount offers
Darren Powers,9,126,1052,3,1,4,314,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Darrin Martin,7,57,6346,2,2,1,221,Active Loyals,Weekly,Personalized updates and loyalty rewards
Darrin Sayre,4,93,1762,3,4,3,343,Discount Seekers,Weekly,Discount offers
Darrin Van Huff,5,19,1121,1,4,4,144,Discount Seekers,Weekly,Discount offers
Dave Brooks,7,16,4532,1,2,1,121,Active Loyals,Weekly,Personalized updates and loyalty rewards
Dave Hallsten,6,277,4934,4,3,1,431,Churn Candidates,Monthly,High-impact reactivation emails
Dave Kipp,7,42,2652,2,2,2,222,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Dave Poirier,8,6,2215,1,2,3,123,Bulk Shoppers,Bi-weekly,Bulk purchase deals
David Bremer,7,48,2974,2,2,2,222,Bulk Shoppers,Bi-weekly,Bulk purchase deals
David Flashing,3,700,2391,4,4,2,442,Churn Candidates,Monthly,High-impact reactivation emails
David Kendrick,2,10,798,1,4,4,144,Discount Seekers,Weekly,Discount offers
David Philippe,2,812,1059,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
David Smith,9,23,2881,1,1,2,112,Bulk Shoppers,Bi-weekly,Bulk purchase deals
David Wiener,6,69,1080,2,3,4,234,Discount Seekers,Weekly,Discount offers
Dean Braden,10,9,2333,1,1,2,112,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Dean Katz,9,10,4801,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Dean percer,11,84,7199,3,1,1,311,Active Loyals,Weekly,Personalized updates and loyalty rewards
Deanra Eno,5,719,2550,4,4,2,442,Churn Candidates,Monthly,High-impact reactivation emails
Deborah Brumfield,8,53,4656,2,2,1,221,Active Loyals,Weekly,Personalized updates and loyalty rewards
Debra Catini,5,23,1174,1,4,3,143,Discount Seekers,Weekly,Discount offers
Deirdre Greer,5,32,3195,2,4,2,242,Discount Seekers,Weekly,Discount offers
Delfina Latchford,8,22,1459,1,2,3,123,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Denise Leinenbach,4,57,584,2,4,4,244,Discount Seekers,Weekly,Discount offers
Denise Monton,8,22,4075,1,2,1,121,Active Loyals,Weekly,Personalized updates and loyalty rewards
Dennis Bolton,5,264,1081,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Dennis Kane,8,19,3317,1,2,2,122,Active Loyals,Weekly,Personalized updates and loyalty rewards
Dennis Pardue,9,358,5482,4,1,1,411,Big Spenders,Weekly,Premium offers and exclusive deals
Denny Blanton,4,187,1711,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Denny Joy,4,637,2012,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Denny Ordway,9,133,1299,3,1,3,313,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Dianna Arnett,4,352,158,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Dianna Vittorini,6,29,3342,1,3,2,132,Discount Seekers,Weekly,Discount offers
Dianna Wilson,5,217,5272,4,4,1,441,Churn Candidates,Monthly,High-impact reactivation emails
Dionis Lloyd,8,76,3540,3,2,2,322,Active Loyals,Weekly,Personalized updates and loyalty rewards
Don Jones,8,48,2502,2,2,2,222,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Don Miller,3,481,1377,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Don Weiss,5,98,343,3,4,4,344,Discount Seekers,Weekly,Discount offers
Dorothy Badders,7,107,3908,3,2,1,321,Big Spenders,Weekly,Premium offers and exclusive deals
Dorothy Dickinson,6,41,269,2,3,4,234,Discount Seekers,Weekly,Discount offers
Dorothy Wardle,7,242,1205,4,2,3,423,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Dorris liebe,5,119,756,3,4,4,344,Churn Candidates,Monthly,High-impact reactivation emails
Doug Bickford,7,33,1988,2,2,3,223,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Doug Jacobs,3,12,3357,1,4,2,142,Discount Seekers,Weekly,Discount offers
Doug O'Connell,7,26,1268,1,2,3,123,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Duane Benoit,7,12,1156,1,2,3,123,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Duane Huffman,4,776,1043,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Duane Noonan,7,217,2139,4,2,3,423,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Ed Braxton,9,48,3645,2,1,2,212,Active Loyals,Weekly,Personalized updates and loyalty rewards
Ed Jacobs,4,302,2163,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Ed Ludwig,2,77,125,3,4,4,344,Discount Seekers,Weekly,Discount offers
Edward Becker,10,35,3236,2,1,2,212,Active Loyals,Weekly,Personalized updates and loyalty rewards
Edward Hooks,12,135,10311,3,1,1,311,Big Spenders,Weekly,Premium offers and exclusive deals
Edward Nazzal,4,287,2200,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Eileen Kiefer,4,44,1302,2,4,3,243,Discount Seekers,Weekly,Discount offers
Eleni McCrary,5,132,2567,3,4,2,342,Churn Candidates,Monthly,High-impact reactivation emails
Elizabeth Moffitt,8,55,2340,2,2,2,222,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Ellis Ballard,5,90,4359,3,4,1,341,Discount Seekers,Weekly,Discount offers
Elpida Rittenbach,3,421,1246,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Emily Burns,10,100,2768,3,1,2,312,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Emily Ducich,8,135,3486,3,2,2,322,Big Spenders,Weekly,Premium offers and exclusive deals
Emily Grady,5,22,1832,1,4,3,143,Discount Seekers,Weekly,Discount offers
Emily Phan,17,12,5479,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Eric Barreto,5,161,944,3,4,4,344,Churn Candidates,Monthly,High-impact reactivation emails
Eric Hoffmann,8,217,684,4,2,4,424,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Eric Murdock,5,151,934,3,4,4,344,Churn Candidates,Monthly,High-impact reactivation emails
Erica Bern,4,0,1644,1,4,3,143,Discount Seekers,Weekly,Discount offers
Erica Hackney,6,405,826,4,3,4,434,Churn Candidates,Monthly,High-impact reactivation emails
Erica Hernandez,7,2,1220,1,2,3,123,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Erica Smith,5,40,3511,2,4,2,242,Discount Seekers,Weekly,Discount offers
Erin Ashbrook,13,152,2847,3,1,2,312,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Erin Creighton,5,53,462,2,4,4,244,Discount Seekers,Weekly,Discount offers
Erin Mull,4,47,229,2,4,4,244,Discount Seekers,Weekly,Discount offers
Erin Smith,9,28,4659,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Eudokia Martin,4,113,1040,3,4,4,344,Churn Candidates,Monthly,High-impact reactivation emails
Eugene Barchas,6,113,3072,3,3,2,332,Churn Candidates,Monthly,High-impact reactivation emails
Eugene Hildebrand,10,152,3083,3,1,2,312,Big Spenders,Weekly,Premium offers and exclusive deals
Eugene Moren,6,48,4589,2,3,1,231,Discount Seekers,Weekly,Discount offers
Eva Jacobs,5,57,2657,2,4,2,242,Discount Seekers,Weekly,Discount offers
Evan Bailliet,6,82,1187,3,3,3,333,Discount Seekers,Weekly,Discount offers
Evan Henry,6,105,924,3,3,4,334,Churn Candidates,Monthly,High-impact reactivation emails
Evan Minnotte,3,158,367,3,4,4,344,Churn Candidates,Monthly,High-impact reactivation emails
Filia McAdams,10,7,2456,1,1,2,112,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Frank Atkinson,7,97,2983,3,2,2,322,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Frank Carlisle,7,70,3419,2,2,2,222,Active Loyals,Weekly,Personalized updates and loyalty rewards
Frank Gastineau,7,34,1383,2,2,3,223,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Frank Hawley,10,37,4256,2,1,1,211,Active Loyals,Weekly,Personalized updates and loyalty rewards
Frank Merwin,9,36,3737,2,1,2,212,Active Loyals,Weekly,Personalized updates and loyalty rewards
Frank Olsen,10,38,2680,2,1,2,212,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Frank Preis,8,23,4047,1,2,1,121,Active Loyals,Weekly,Personalized updates and loyalty rewards
Fred Chung,7,184,3889,4,2,1,421,Big Spenders,Weekly,Premium offers and exclusive deals
Fred Harton,4,212,2271,4,4,2,442,Churn Candidates,Monthly,High-impact reactivation emails
Fred Hopkins,8,5,6987,1,2,1,121,Active Loyals,Weekly,Personalized updates and loyalty rewards
Fred McMath,9,145,2523,3,1,2,312,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Fred Wasserman,3,362,81,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Gary Hansen,9,75,2819,2,1,2,212,Bulk Shoppers,Bi-weekly,Bulk purchase deals
